20,0.0175
0.0000,1.0000,0.1000
0.3000,0.9000,0.1000
0.6000,0.8000,0.1000
0.8000,0.6000,0.1000
0.9000,0.3000,0.1000
1.0000,0.0000,0.1000
0.9000,-0.3000,0.1000
0.8000,-0.6000,0.1000
0.6000,-0.8000,0.1000
0.3000,-0.9000,0.1000
0.0000,-1.0000,0.1000
-0.3000,-0.9000,0.1000
-0.6000,-0.8000,0.1000
-0.8000,-0.6000,0.1000
-0.9000,-0.3000,0.1000
-1.0000,0.0000,0.1000
-0.9000,0.3000,0.1000
-0.8000,0.6000,0.1000
-0.6000,0.8000,0.1000
-0.3000,0.9000,0.1000
